Expansion[0.0002]  Contingency[0.2589]  Comparison[0.0009]  Temporal[0.7399]  Temporal
Expansion[0.0085]  Contingency[0.0111]  Comparison[0.7957]  Temporal[0.1847]  Comparison
Expansion[0.0219]  Contingency[0.0024]  Comparison[0.9754]  Temporal[0.0004]  Comparison
Expansion[0.0001]  Contingency[0.9469]  Comparison[0.0413]  Temporal[0.0117]  Contingency
Expansion[0.9914]  Contingency[0.0055]  Comparison[0.0010]  Temporal[0.0020]  Expansion
Expansion[0.9849]  Contingency[0.0023]  Comparison[0.0070]  Temporal[0.0058]  Expansion
Expansion[0.0258]  Contingency[0.0012]  Comparison[0.9718]  Temporal[0.0012]  Comparison
Expansion[0.0044]  Contingency[0.0059]  Comparison[0.0007]  Temporal[0.9890]  Temporal
Expansion[0.0002]  Contingency[0.4399]  Comparison[0.0007]  Temporal[0.5593]  Temporal
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0010]  Contingency[0.9877]  Comparison[0.0042]  Temporal[0.0070]  Contingency
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9723]  Contingency[0.0167]  Comparison[0.0018]  Temporal[0.0092]  Expansion
Expansion[0.0083]  Contingency[0.4322]  Comparison[0.0130]  Temporal[0.5466]  Temporal
Expansion[0.0321]  Contingency[0.0006]  Comparison[0.9655]  Temporal[0.0017]  Comparison
Expansion[0.0219]  Contingency[0.0024]  Comparison[0.9754]  Temporal[0.0004]  Comparison
Expansion[0.0321]  Contingency[0.0006]  Comparison[0.9655]  Temporal[0.0017]  Comparison
Expansion[0.0321]  Contingency[0.0006]  Comparison[0.9655]  Temporal[0.0017]  Comparison
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0219]  Contingency[0.0024]  Comparison[0.9754]  Temporal[0.0004]  Comparison
Expansion[0.9670]  Contingency[0.0081]  Comparison[0.0248]  Temporal[0.0002]  Expansion
Expansion[0.0321]  Contingency[0.0006]  Comparison[0.9655]  Temporal[0.0017]  Comparison
Expansion[0.9369]  Contingency[0.0463]  Comparison[0.0092]  Temporal[0.0076]  Expansion
Expansion[0.9112]  Contingency[0.0844]  Comparison[0.0023]  Temporal[0.0021]  Expansion
Expansion[0.0321]  Contingency[0.0006]  Comparison[0.9655]  Temporal[0.0017]  Comparison
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.0711]  Contingency[0.0146]  Comparison[0.0013]  Temporal[0.9129]  Temporal
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0003]  Contingency[0.9583]  Comparison[0.0021]  Temporal[0.0393]  Contingency
Expansion[0.0321]  Contingency[0.0006]  Comparison[0.9655]  Temporal[0.0017]  Comparison
Expansion[0.9670]  Contingency[0.0081]  Comparison[0.0248]  Temporal[0.0002]  Expansion
Expansion[0.0124]  Contingency[0.0031]  Comparison[0.9766]  Temporal[0.0079]  Comparison
Expansion[0.0025]  Contingency[0.0157]  Comparison[0.9713]  Temporal[0.0105]  Comparison
Expansion[0.0321]  Contingency[0.0006]  Comparison[0.9655]  Temporal[0.0017]  Comparison
Expansion[0.0003]  Contingency[0.9583]  Comparison[0.0021]  Temporal[0.0393]  Contingency
Expansion[0.9723]  Contingency[0.0167]  Comparison[0.0018]  Temporal[0.0092]  Expansion
Expansion[0.9723]  Contingency[0.0167]  Comparison[0.0018]  Temporal[0.0092]  Expansion
Expansion[0.0025]  Contingency[0.0157]  Comparison[0.9713]  Temporal[0.0105]  Comparison
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.0258]  Contingency[0.0012]  Comparison[0.9718]  Temporal[0.0012]  Comparison
